code,borough,more
10451,BRONX,
10452,BRONX,
10453,BRONX,
10454,BRONX,
10455,BRONX,
10456,BRONX,
10457,BRONX,
10458,BRONX,
10459,BRONX,
10460,BRONX,
10461,BRONX,
10462,BRONX,
10463,BRONX,
10464,BRONX,
10465,BRONX,
10466,BRONX,
10467,BRONX,
10468,BRONX,
10469,BRONX,
10470,BRONX,
10471,BRONX,
10472,BRONX,
10473,BRONX,
10474,BRONX,
10475,BRONX,
10499,BRONX,
11200,BROOKLYN,
11201,BROOKLYN,
11202,BROOKLYN,
11203,BROOKLYN,
11204,BROOKLYN,
11205,BROOKLYN,
11206,BROOKLYN,
11207,BROOKLYN,
11208,BROOKLYN,
11209,BROOKLYN,
11210,BROOKLYN,
11211,BROOKLYN,
11212,BROOKLYN,
11213,BROOKLYN,
11214,BROOKLYN,
11215,BROOKLYN,
11216,BROOKLYN,
11217,BROOKLYN,
11218,BROOKLYN,
11219,BROOKLYN,
11220,BROOKLYN,
11221,BROOKLYN,
11222,BROOKLYN,
11223,BROOKLYN,
11224,BROOKLYN,
11225,BROOKLYN,
11226,BROOKLYN,
11227,BROOKLYN,
11228,BROOKLYN,
11229,BROOKLYN,
11230,BROOKLYN,
11231,BROOKLYN,
11232,BROOKLYN,
11233,BROOKLYN,
11234,BROOKLYN,
11235,BROOKLYN,
11236,BROOKLYN,
11237,BROOKLYN,
11238,BROOKLYN,
11239,BROOKLYN,
11240,BROOKLYN,
11241,BROOKLYN,
11242,BROOKLYN,
11243,BROOKLYN,
11244,BROOKLYN,
11245,BROOKLYN,
11246,BROOKLYN,
11247,BROOKLYN,
11248,BROOKLYN,
11249,BROOKLYN,
11250,BROOKLYN,
11251,BROOKLYN,
11252,BROOKLYN,
11253,BROOKLYN,
11254,BROOKLYN,
11255,BROOKLYN,
10001,MANHATTAN,
10002,MANHATTAN,
10003,MANHATTAN,
10004,MANHATTAN,
10005,MANHATTAN,
10006,MANHATTAN,
10007,MANHATTAN,
10008,MANHATTAN,
10009,MANHATTAN,
10010,MANHATTAN,
10011,MANHATTAN,
10012,MANHATTAN,
10013,MANHATTAN,
10014,MANHATTAN,
10015,MANHATTAN,
10016,MANHATTAN,
10017,MANHATTAN,
10018,MANHATTAN,
10019,MANHATTAN,
10020,MANHATTAN,
10021,MANHATTAN,
10022,MANHATTAN,
10023,MANHATTAN,
10024,MANHATTAN,
10025,MANHATTAN,
10026,MANHATTAN,
10027,MANHATTAN,
10028,MANHATTAN,
10029,MANHATTAN,
10030,MANHATTAN,
10031,MANHATTAN,
10032,MANHATTAN,
10033,MANHATTAN,
10034,MANHATTAN,
10035,MANHATTAN,
10036,MANHATTAN,
10037,MANHATTAN,
10038,MANHATTAN,
10039,MANHATTAN,
10040,MANHATTAN,
10041,MANHATTAN,
10042,MANHATTAN,
10043,MANHATTAN,
10044,MANHATTAN,
10045,MANHATTAN,
10046,MANHATTAN,
10047,MANHATTAN,
10048,MANHATTAN,
10049,MANHATTAN,
10050,MANHATTAN,
10051,MANHATTAN,
10052,MANHATTAN,
10053,MANHATTAN,
10054,MANHATTAN,
10055,MANHATTAN,
10056,MANHATTAN,
10057,MANHATTAN,
10058,MANHATTAN,
10059,MANHATTAN,
10060,MANHATTAN,
10061,MANHATTAN,
10062,MANHATTAN,
10063,MANHATTAN,
10064,MANHATTAN,
10065,MANHATTAN,
10066,MANHATTAN,
10067,MANHATTAN,
10068,MANHATTAN,
10069,MANHATTAN,
10070,MANHATTAN,
10071,MANHATTAN,
10072,MANHATTAN,
10073,MANHATTAN,
10074,MANHATTAN,
10075,MANHATTAN,
10076,MANHATTAN,
10077,MANHATTAN,
10078,MANHATTAN,
10079,MANHATTAN,
10080,MANHATTAN,
10081,MANHATTAN,
10082,MANHATTAN,
10083,MANHATTAN,
10084,MANHATTAN,
10085,MANHATTAN,
10086,MANHATTAN,
10087,MANHATTAN,
10088,MANHATTAN,
10089,MANHATTAN,
10090,MANHATTAN,
10091,MANHATTAN,
10092,MANHATTAN,
10093,MANHATTAN,
10094,MANHATTAN,
10095,MANHATTAN,
10096,MANHATTAN,
10097,MANHATTAN,
10098,MANHATTAN,
10099,MANHATTAN,
10100,MANHATTAN,
10101,MANHATTAN,
10102,MANHATTAN,
10103,MANHATTAN,
10104,MANHATTAN,
10105,MANHATTAN,
10106,MANHATTAN,
10107,MANHATTAN,
10108,MANHATTAN,
10109,MANHATTAN,
10110,MANHATTAN,
10111,MANHATTAN,
10112,MANHATTAN,
10113,MANHATTAN,
10114,MANHATTAN,
10115,MANHATTAN,
10116,MANHATTAN,
10117,MANHATTAN,
10118,MANHATTAN,
10119,MANHATTAN,
10120,MANHATTAN,
10121,MANHATTAN,
10122,MANHATTAN,
10123,MANHATTAN,
10124,MANHATTAN,
10125,MANHATTAN,
10126,MANHATTAN,
10127,MANHATTAN,
10128,MANHATTAN,
10129,MANHATTAN,
10130,MANHATTAN,
10131,MANHATTAN,
10132,MANHATTAN,
10133,MANHATTAN,
10134,MANHATTAN,
10135,MANHATTAN,
10136,MANHATTAN,
10137,MANHATTAN,
10138,MANHATTAN,
10139,MANHATTAN,
10140,MANHATTAN,
10141,MANHATTAN,
10142,MANHATTAN,
10143,MANHATTAN,
10144,MANHATTAN,
10145,MANHATTAN,
10146,MANHATTAN,
10147,MANHATTAN,
10148,MANHATTAN,
10149,MANHATTAN,
10150,MANHATTAN,
10151,MANHATTAN,
10152,MANHATTAN,
10153,MANHATTAN,
10154,MANHATTAN,
10155,MANHATTAN,
10156,MANHATTAN,
10157,MANHATTAN,
10158,MANHATTAN,
10159,MANHATTAN,
